OBJECTID,Sample Site,Sample Station (SS) - Location Description,X - Coordinate,Y - Coordinate,LONGITUDE,LATITUDE,City or Placename,ZIP Code
238,36950,SS - W/S Main St. Roosevelt Island (north of bridge) - 2nd SS N/O FDNY SOC circle,999939,219046,-73.94336069,40.7678931,New York,10044
239,37300,"SS - IFO 3401 W/S Broadway, BTW W 138th & W 139th Sts, 36""",997037,238820,-73.95379963,40.82217204,New York,10031
240,37450,"SS -OPP 532 N/S W 111st St, 2nd SS W/O Amsterdam Ave, 12""",993850,232387,-73.96532369,40.80451929,New York,10025
241,37950,"SS - IFO 325 N/S E 12th St, 2nd SS E/O 2nd Ave, 12""",988485,205450,-73.98471966,40.73058842,New York,10003
242,38150,"SS - IFO 121 N/S W 72nd St, 2nd SS W/O Columbus Ave, 12""",989901,222686,-73.9795961,40.77789606,New York,10023
243,38250,"SS - IFO 309 N/S E 87th St, 2nd SS W/O 1st Ave, 12""",997994,222826,-73.95037466,40.77827145,New York,10128
244,38300,"SS - E/S Amsterdam Ave, BTW W 179th & W 180th Sts (IFO DEP Pump Station), 36""",1003227,247967,-73.93140884,40.84726677,New York,10033
245,38650,"SS - OPP 238 N/S W 112th St, 2nd SS E/O 8th Ave (Fredrick Douglass), 12""",996500,231218,-73.95575372,40.80130743,New York,10026
246,39200,"SS - E/S Amsterdam Ave, BTW W 61st & W 62nd Sts, 48""",988030,220500,-73.98635289,40.77189707,New York,10023
247,39400,"SS - S/S W 62nd St, BTW Columbus Ave & Broadway, 48""",989043,220395,-73.98269569,40.77160838,New York,10023
248,39550,"SS - W/S Park Ave, 1st SS S/O E 95th St, 12""",997170,225580,-73.95334457,40.78583169,New York,10128
249,39550,"SS - W/S Park Ave, 1st SS S/O E 95th St, 12""",997172,225580,-73.95333735,40.78583169,New York,10128
250,39650,"SS - IFO 229 N/S E 49th St, 2nd SS W/O 2nd Ave, 12""",992565,214253,-73.9699877,40.75474756,New York,10017
251,39750,"SS - IFO 321 N/S E 71st St, 2nd SS W/O 1st Ave, 12""",995942,218935,-73.95779056,40.76759462,New York,10021
252,39800,"SS - W/S Broadway, BTW W 76th & W 77th Sts, 36""",989480,224221,-73.981115,40.78210949,New York,10024
253,39950,"SS - IFO 601 W/S West End Ave, 1st SS N/O W 89th St, 12""",990776,227477,-73.97643211,40.79104548,New York,10024
254,3SC26,"Shaft 26 of New Croton Aqueduct, 179th St Pumping Station.",1003134,247853,-73.9317453,40.84695408,New York,10033
255,4ISL5,"SS - Rikers Island, traffic island OPP James A. Thomas Ctr, 14-14 Hazen St",1015316,229741,-73.88779833,40.79720735,East Elmhurst,11370
256,40150,"SS - N/S 27th Ave, 1st SS E/O 2nd St, IFO 2-07 27th Ave, 12""",1002251,221752,-73.93500683,40.77531596,Astoria,11102
257,40200,"SS - S/S 19th Ave, BTW 41st & Steinway Sts, IFO 40-14 19th Ave, 60""",1012206,222705,-73.89906005,40.77790581,Astoria,11105
258,40250,"SS - IFO 22-26 W/S Steinway St, 2nd SS S/O Ditmars Blvd, 12""",1010037,220644,-73.9068995,40.7722555,Astoria,11105
259,40300,"SS - IFO 12 - 23 SE/S Jackson Ave, BTW 48th & 49th Aves, 72""",998105,210271,-73.94999975,40.74381103,Long Island City,11101
260,40350,"SS - N/S 41st Ave, 2nd SS W/O 21st St, 12""",1000003,214134,-73.94314115,40.75441081,Long Island City,11101
261,40450,"SS - OPP 33-02 N/S 48th Ave, 1st SS E/O 33rd St, 12""",1003047,209194,-73.93216795,40.74084581,Long Island City,11101
262,40550,"SS - W/S 61st (Bush) St, 1st SS S/O 47th Ave, 12""",1011000,208696,-73.90347026,40.73945844,Woodside,11377
263,40600,"SS - E/S 89th St, BTW Northern Blvd & 32nd Ave, 72""",1017800,215038,-73.87890024,40.75684244,East Elmhurst,11369
264,40650,"SS - IFO 30-12 W/S 94th St, 1st SS S/O 30th Ave, 12""",1018876,216530,-73.87500871,40.76093345,East Elmhurst,11369
265,40750,"SS - N/S Northern Blvd, 1st SS W/O 78th St, 12""",1014894,214445,-73.88939223,40.75522536,Jackson Heights,11372
266,40800,"SS - E/S 62nd St, BTW 37th Ave & Broadway, 48""",1011829,212286,-73.90046402,40.74930954,Woodside,11377
267,40850,"SS - IFO 4205 E/S 77th St, 1st SS S/O Woodside Ave, 12""",1015318,210104,-73.88788188,40.74330894,Elmhurst,11373
268,40950,"SS - W/S 94th St, 2nd SS S/O 41st Rd , Case St, 12""",1019803,210877,-73.87169236,40.74541373,Elmhurst,11373
269,41050,"SS - IFO 86-31 W/S 57th Ave, 2nd SS S/O Seabury Ave, 12""",1018708,206370,-73.8756672,40.73304748,Elmhurst,11373
270,41100,"SS - IFO 94-03 S/S Alstyne Ave, BTW Junction Blvd & 94th St, 48""",1020261,209842,-73.87004502,40.74257107,Elmhurst,11373
271,41150,"SS - OPP 110-08 W/S Colonial Ave, 2nd SS S/O Horace Harding Expwy, 12""",1026226,207866,-73.84853116,40.73712114,Forest Hills,11375
272,41250,"SS - SW/S LIE (service Rd), 1st SS E/O 71st St, 12""",1014728,203714,-73.89004002,40.72577203,Maspeth,11378
273,41300,"SS - S/S Cypress Ave, BTW Dekalb Ave & Stockholm St, 60""",1007301,196633,-73.91685973,40.70635886,Ridgewood,11385
274,41350,"SS - W/S Menahan St, 1st SS N/O Onderdonk Ave, 12""",1009308,196373,-73.90962186,40.70563976,Ridgewood,11385
275,41450,"SS - OPP 18-20 W/S Decatur St, 2nd SS S/O Forest Ave, 12""",1012510,193596,-73.89808469,40.69800791,Ridgewood,11385
276,41550,"SS - IFO 98-05 N/S 63rd Rd, 1st SS E/O 98th St, 12""",1023300,205981,-73.85910044,40.73196069,Rego Park,11374
277,41600,"SS - IFO 93-29 N/S Queens Blvd, BTW 62nd Dr & 62nd Ave, 72""",1021543,205810,-73.86544096,40.73149892,Rego Park,11374
278,41650,"SS - IFO 106-15 N/S Queens Blvd (service Rd), 2nd SS E/O Yellowstone Blvd, 20""",1026792,202666,-73.84652165,40.72284573,Forest Hills,11375
279,41750,"SS - OPP 104-41 SW/S Ditmars Blvd, BTW 24th Rd & 25th Ave, 12""",1021435,218787,-73.86575888,40.76711793,East Elmhurst,11369
280,41850,"SS - IFO 67-02 W/S Bell Blvd, 1st SS S/O 67th Ave, 12""",1050755,210470,-73.75999378,40.74411802,Oakland Gardens,11364
281,41900,"SS - W/S Fresh Meadow La, Corner N/O Booth Memorial Ave, 20""",1040557,209716,-73.79680295,40.74211929,Fresh Meadows,11365
282,41950,"SS - IFO 170-05 N/S 45th Ave, 1st SS E/O 170th St, 12""",1040549,214712,-73.79678999,40.75583207,Flushing,11358
283,42100,"SS - S/S Metropolitan Ave, 1st SS E/O 80th St, 48""",1019954,199151,-73.87120964,40.71322815,Middle Village,11379
284,42150,"SS - IFO 68-78 W/S 76th St, 1st N/O 69th Rd, 12""",1018772,197537,-73.87548158,40.7088028,Ridgewood,11385
285,42300,"SS - S/S 48th Ave, BTW 42nd & 43rd Sts, 72""",1005648,208750,-73.92278324,40.73962123,Sunnyside,11104
286,42350,"SS - IFO 41-18 W/S 39th St, 2nd SS S/O Skillman Ave, 12""",1004860,211464,-73.9256185,40.74707235,Sunnyside,11104
287,42700,"SS - OPP 64-65 W/S 210th St, N/O 67th Ave, 48""",1049282,209900,-73.76531509,40.74256447,Oakland Gardens,11364
288,42750,"SS - IFO 64-50A W/S 188th St, 2nd SS S/O 64th Ave, 20""",1043933,207580,-73.78463886,40.73623438,Fresh Meadows,11365
289,42850,"SS - IFO 82-28 W/S Parsons Blvd, BTW Goethals Ave & Village Rd",1037347,200782,-73.80845745,40.71761756,Jamaica,11432
290,42950,"SS - IFO 80-56 W/S 193rd St, 1st SS N/O 81st Ave, 12""",1046079,204823,-73.77692056,40.72865238,Fresh Meadows,11366
291,43050,"SS - S/S Park Lane S, 1st SS W/O 102nd St, 20""",1026611,193874,-73.84722995,40.69871469,Woodhaven,11421
292,43150,"SS - W/S 88th St, 2nd SS S/O 149th Ave, 12""",1026601,183111,-73.84733367,40.6691728,Howard Beach,11414
293,43250,"SS - IFO 87-48 W/S 78th St, 1st SS N/O 88th Ave, 12""",1022120,190652,-73.86344431,40.68989141,Woodhaven,11421
294,43550,"SS - W/S 125th St, 1st SS S/O 15th Ave, 20""",1027699,225142,-73.84310424,40.78453214,College Point,11356
295,43600,"SS - E/S Union St, BTW Northern Blvd & 35th Ave, 72""",1031944,218059,-73.82782572,40.76506931,Flushing,11354
296,43650,"SS - E/S Whitestone Expy (service Rd), 2nd SS S/O Downing St, 12""",1029519,219268,-73.83657175,40.76840045,Flushing,11354
297,43750,"SS - N/S 20th Ave, 2nd SS W/O Whitestone Expy, 12""",1031507,224135,-73.82936055,40.78174866,Whitestone,11357
298,43900,"SS - N/S 39th Ave, BTW 215th Pl & 216th St, IFO 215-37 39th Ave 24""",1048519,218452,-73.76798682,40.76604303,Bayside,11361
299,43950,"SS - N/S 26th Ave, BTW 210th Pl & 211st St (IFO Sony Theatres), 12""",1045509,222777,-73.77881355,40.77793536,Bayside,11360
300,44150,"SS - IFO 20-44 W/S 21st St, 2nd SS N/O 21st Ave, 20""",1008141,224609,-73.91373065,40.78314371,Astoria,11105
301,44250,"SS - IFO 50-33 N/S Broadway, 2nd SS E/O 49th St, 12""",1009146,214314,-73.91013978,40.75488385,Woodside,11377
302,44350,"SS - IFO 21-55 N/S 34th Ave, 1st SS W/O 24th St, 12""",1002964,216964,-73.93244585,40.76217266,Astoria,11106
303,44450,"SS - IFO 223-03 N/S Manor Rd, 2nd SS W/O 229th St, 12""",1055329,206333,-73.74353073,40.73272745,Queens Village,11427
304,44550,"SS - N/S 17th Ave, 1st SS E/O 201st St, 12""",1041759,224449,-73.79233922,40.78254974,Bayside,11360
305,44700,"SS - N/S Jewel Ave, BTW 172nd & 173rd Sts, 60""",1040470,205827,-73.79714941,40.73144553,Fresh Meadows,11365
306,44750,"SS - IFO 67-02 W/S Parsons Blvd, 2nd SS N/O Jewel Ave, 12""",1036698,206954,-73.81075055,40.73456203,Fresh Meadows,11365
307,44950,"SS - W/S Selfridge St, 1st SS N/O Olcott St, 12""",1023963,199221,-73.85674811,40.7134032,Forest Hills,11375
308,45000,"SS - W/S Douglaston Pkwy, BTW 67th & 68th Aves, 48""",1056313,213038,-73.73990842,40.75112296,Little Neck,11362
309,45050,"SS - IFO 253-38 S/S 61st Ave, 1st SS W/O 255th St, 20""",1060423,215516,-73.72504653,40.75788995,Little Neck,11362
310,45250,"SS - E/S Beach 58th St, 2nd SS N/O Beach Channel Dr, 12""",1043088,156447,-73.78813422,40.59589177,Arverne,11692
311,45650,"SS - IFO 107-02 W/S 109th St, 1st SS S/O 107th Ave, 12""",1030884,187685,-73.83186275,40.68170585,South Richmond Hill,11419
312,45700,"SS - E/S Cross Bay Blvd, BTW 156th Ave & Belt Pkwy, 48""",1028340,181542,-73.84107522,40.66485776,Howard Beach,11414
313,45750,"SS - N/S 161st Ave, 2nd SS W/O 83rd St, 12""",1026111,177745,-73.84913332,40.65444667,Howard Beach,11414
314,45850,"SS - N/S Sutter Ave, 1st SS E/O 91st St,  IFO 91-01 Sutter Ave, 12""",1026984,185810,-73.84593592,40.6765791,Ozone Park,11417
315,46100,"SS - IFO 691 S/S Empire Ave, BTW Virginia St & Harris St, 12"" (branch from 48"" into regulator)",1055532,160561,-73.74328228,40.60709247,Far Rockaway,11691
