Sample Site,X - Coordinate,Y - Coordinate,"
"
46250,1026511,151266,"
"
46350,1022904,216238,"
"
46450,1035671,218150,"
"
46850,1012186,200020,"
"
46950,1030452,196724,"
"
47150,1033893,228531,"
"
47500,1033971,157361,"
"
47550,1032730,151392,"
"
47650,1009613,143617,"
"
47750,1062706,209940,"
"
47850,1057118,217216,"
"
48600,1045300,182156,"
"
48700,1039015,225892,"
"
49200,1033124,205328,"
"
50050,966574,163485,"
"
50200,960455,169298,"
"
50250,957294,165843,"
"
50300,955759,163383,"
"
50600,961300,171090,"
"
50650,959871,172693,"
"
50750,929606,132752,"
"
50850,938156,159775,"
"
51050,948843,147129,"
"
51100,958541,152868,"
"
51150,952718,144073,"
"
51250,945963,145822,"
"
51350,952915,166107,"
"
51450,946956,141680,"
"
51550,929600,136603,"
"
51850,961818,165626,"
"
51900,963592,165738,"
"
51950,961126,162906,"
"
52000,949042,171355,"
"
52050,945148,170575,"
"
52150,940112,164049,"
"
52350,942056,141349,"
"
52450,940364,154531,"
"
52550,956309,153545,"
"
53500,959018,160070,"
"
53550,962638,156213,"
"
55450,929492,127613,"
"
56000,930020,128865,"
"
56200,923133,138620,"
"
56300,942510,165902,"
"
56400,955493,172174,"
"
57200,937502,140778,"
"
57750,939334,169106,"
"
58150,937093,143243,"
"
58250,934244,138616,"
"
58300,941916,134558,"
"
58350,941317,134810,"
"
58400,932029,139673,"
"
58600,920455,124432,"
"
58650,916207,122378,"
"
58850,951160,160296,"
"
58950,951286,170459,"
"
59050,950229,167908,"
"
59300,952850,162957,"
"
59350,949781,162605,"
"
76150,1038620,198864,"
"
76300,1052705,203691,"
"
76450,1035350,197598,"
"
76550,1045511,186628,"
"
76650,1046472,200528,"
"
76750,1039534,196579,"
"
76850,1049525,194731,"
"
76950,1051654,200734,"
"
77050,1056499,201702,"
"
77150,1058674,191704,"
"
77350,1054559,186410,"
"
77550,1057716,204264,"
"
77650,1053711,196581,"
"
77750,1059645,189067,"
"
77850,1044675,198391,"
"
78050,1056660,197103,"
"
78150,1031161,195158,"
"
78350,1047324,200078,"
"
78450,1052428,202866,"
"
78550,1055425,193468,"
"
78650,1050830,191629,"
"
78850,1042080,191964,"
"
79050,1051749,181801,"
"
79150,1050498,187418,"
"
79450,1036997,185580,"
"
79550,1035573,188405,"
"
